Processes,Size,Latency
2,2,1.69
2,4,1.99
2,8,2.57
2,16,3.25
2,32,4.39
2,64,6.61
2,128,10.37
2,256,15.46
2,512,26.21
2,1024,47.34
2,2048,98.19
2,4096,157.30
2,8192,283.68
2,16384,564.54
2,32768,1158.82
2,65536,2299.71
2,131072,4709.21
2,262144,23663.11
2,524288,70749.10
