Processes,Size,Latency
2,2,18.66
2,4,18.71
2,8,18.82
2,16,18.73
2,32,18.44
2,64,18.40
2,128,18.71
2,256,21.36
2,512,21.13
2,1024,20.02
2,2048,23.95
2,4096,33.51
2,8192,52.22
2,16384,129.66
2,32768,266.00
2,65536,111.31
2,131072,231.82
2,262144,491.36
2,524288,973.67
2,1048576,1767.80
4,2,19.23
4,4,18.90
4,8,18.90
4,16,18.81
4,32,18.98
4,64,18.90
4,128,18.85
4,256,20.82
4,512,20.95
4,1024,19.77
4,2048,23.78
4,4096,34.29
4,8192,52.85
4,16384,130.35
4,32768,271.99
4,65536,115.84
4,131072,237.80
4,262144,492.95
4,524288,1018.64
4,1048576,1833.96
8,2,19.24
8,4,19.18
8,8,18.91
8,16,19.00
8,32,19.03
8,64,18.71
8,128,18.91
8,256,21.26
8,512,20.69
8,1024,20.76
8,2048,23.60
8,4096,34.19
8,8192,52.42
8,16384,132.33
8,32768,271.64
8,65536,115.88
8,131072,233.51
8,262144,430.52
8,524288,922.23
8,1048576,1801.52
16,2,19.35
16,4,18.73
16,8,19.45
16,16,18.86
16,32,19.25
16,64,18.90
16,128,18.96
16,256,20.92
16,512,20.71
16,1024,20.97
16,2048,23.63
16,4096,34.44
16,8192,52.54
16,16384,131.94
16,32768,265.23
16,65536,113.13
16,131072,240.44
16,262144,467.05
16,524288,1023.50
16,1048576,1758.98
32,2,19.14
32,4,18.61
32,8,19.16
32,16,18.71
32,32,19.05
32,64,18.85
32,128,18.98
32,256,21.24
32,512,20.23
32,1024,20.88
32,2048,24.03
32,4096,34.04
32,8192,52.38
32,16384,133.08
32,32768,262.31
32,65536,115.00
32,131072,237.42
32,262144,500.26
32,524288,953.54
32,1048576,1870.65
64,2,19.28
64,4,19.41
64,8,18.99
64,16,18.87
64,32,18.94
64,64,18.75
64,128,19.04
64,256,21.57
64,512,20.93
64,1024,20.44
64,2048,23.82
64,4096,34.18
64,8192,52.58
64,16384,131.87
64,32768,269.82
64,65536,108.74
64,131072,240.37
64,262144,481.46
64,524288,1013.58
64,1048576,1826.83
128,2,19.08
128,4,19.17
128,8,18.48
128,16,19.14
128,32,19.08
128,64,18.96
128,128,19.05
128,256,21.40
128,512,21.30
128,1024,20.04
128,2048,23.66
128,4096,33.79
128,8192,52.44
128,16384,132.87
128,32768,265.17
128,65536,111.49
128,131072,238.22
128,262144,499.16
128,524288,1021.29
128,1048576,1833.18
256,2,19.45
256,4,19.07
256,8,18.84
256,16,18.98
256,32,18.78
256,64,19.04
256,128,18.88
256,256,20.67
256,512,20.16
256,1024,20.40
256,2048,23.82
256,4096,33.97
256,8192,52.60
256,16384,131.76
256,32768,272.90
256,65536,113.69
256,131072,233.57
256,262144,480.06
256,524288,1027.46
256,1048576,1848.04
