num_procs,input_size,avg_time
1,0,7.818474e-06
2,0,2.0499848e-05
3,0,3.3416081e-05
4,0,3.9734137e-05
5,0,4.5822410999999994e-05
6,0,5.191537299999999e-05
7,0,5.782282600000002e-05
8,0,6.4084099e-05
9,0,7.055177699999998e-05
10,0,7.695873900000006e-05
11,0,8.373392299999994e-05
12,0,9.041344600000001e-05
13,0,9.638799099999995e-05
14,0,0.00010302298500000007
15,0,0.00011090120400000003
16,0,0.0001182092429999999
17,0,0.0001256340549999999
18,0,0.00013354098699999993
19,0,0.00014140195200000027
20,0,0.00014418571499999987
21,0,0.00015049459599999994
22,0,0.00015940668400000012
23,0,0.00016736908899999992
24,0,0.00017563359300000014
25,0,0.00018238588199999972
26,0,0.00019278254700000018
27,0,0.00020718740300000027
28,0,0.00022107435200000003
29,0,0.00023026925200000025
30,0,0.00023772583300000027
31,0,0.000257356766
32,0,0.0002773079300000001
