num_procs,avg_time
1,0.005259438277999997
2,0.024715669033
3,0.058962371337999975
4,0.10289996266300001
5,0.15450963214500002
6,0.21324289366999966
7,0.27978176593200005
8,0.35444941889599996
9,0.43723937498600035
10,0.5281118117199998
11,0.626917921079
12,0.7344892415009999
13,0.8494949928120007
14,0.9718748635050003
15,1.1032810339689991
16,1.2434097171670007
17,1.3919440492010011
18,1.5511502100759977
19,1.7201595351569996
20,1.8913850084029977
21,2.069663209703003
22,2.2545113134830013
23,2.4484700668680013
24,2.652659907749002
25,2.870257068010001
26,3.101140263291003
27,3.3504980747880024
28,3.618785017371003
29,3.9014700249309984
30,4.195683241812003
31,4.5105855729940005
32,4.8564471820750015
